,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,-12.8990,102.5143,187.7177,-60.6060,132.4270,10.5133,-33.4874,1.1831,18.0604,40.4516,43.8468,-17.1740,0.6120,-32.5375,28.1401,22.2558,17.2444,-18.9059,-5.9012,7.6817,32.4608
2,32.8126,141.3855,6.4629,-4.3118,60.2694,-14.2648,-17.9637,9.2965,28.7702,42.1391,9.1524,-8.7132,-17.6135,-7.0234,25.1633,19.7238,-2.4919,-12.6452,0.6614,19.4303,
3,71.8496,31.9120,38.1109,0.3946,19.5460,-9.3971,-7.3799,18.8264,33.6115,18.7220,6.2280,-17.4672,-4.5449,1.8605,22.4660,5.1438,-3.6419,-6.3362,10.3073,,
4,18.9102,51.9794,30.6245,-9.4249,14.6643,-3.1984,2.7805,24.6407,18.5562,13.9097,-5.1702,-7.8721,1.5469,5.5060,10.4737,2.2666,-0.9278,2.1411,,,
5,35.9667,42.5971,14.1302,-7.3962,15.3356,4.2825,9.9281,14.8580,14.7280,2.5796,0.7147,-2.5085,4.5085,0.0967,6.9852,3.3273,4.9975,,,,
6,31.3498,25.5769,11.8626,-3.5709,19.1857,10.0254,4.8620,12.3507,5.0111,6.4548,4.0213,0.5358,0.1824,-0.9289,7.1010,7.6946,,,,,
7,19.1822,21.7613,12.7277,1.7511,22.4312,5.6513,4.2441,4.4555,8.0401,8.5804,5.8148,-2.5038,-0.7102,0.2577,10.4024,,,,,,
8,16.7679,21.2924,15.8691,6.2513,16.5940,5.0078,-1.2749,7.1582,9.7225,9.6274,2.3533,-2.9351,0.3019,3.8099,,,,,,,
9,16.9108,23.2851,18.6874,3.3512,14.6997,-0.0298,1.6277,8.7391,10.5338,6.0160,1.4015,-1.8091,3.4497,,,,,,,,
10,19.0754,25.2015,14.4935,3.0740,8.7708,2.4831,3.5232,9.5611,7.1629,4.7593,2.0127,1.1749,,,,,,,,,
11,21.1389,20.5859,13.1561,-0.8223,10.4034,4.1399,4.7012,6.6050,5.9039,5.0217,4.4639,,,,,,,,,,
12,17.3610,18.7799,8.3827,1.3180,11.3456,5.1736,2.4955,5.5022,6.0509,7.0729,,,,,,,,,,,
13,15.9791,13.7220,9.7878,2.7927,11.7886,3.0910,1.8238,5.6683,7.8805,,,,,,,,,,,,
14,11.5761,14.6957,10.6346,3.7631,9.2546,2.4212,2.2315,7.3878,,,,,,,,,,,,,
15,12.6105,15.1848,11.0634,2.0718,8.1723,2.7637,4.0123,,,,,,,,,,,,,,
16,13.1904,15.3125,8.9017,1.5543,8.1416,4.4072,,,,,,,,,,,,,,,
17,13.4249,12.9492,7.9698,1.9049,9.4397,,,,,,,,,,,,,,,,
18,11.3302,11.8092,7.9538,3.4004,,,,,,,,,,,,,,,,,
19,10.3493,11.5881,9.1225,,,,,,,,,,,,,,,,,,
20,10.2143,12.5489,,,,,,,,,,,,,,,,,,,
21,11.1835,,,,,,,,,,,,,,,,,,,,
